2019-05-03T07:06:27.863Z, NUMPAD5
2019-05-03T07:06:41.289Z, NUMPAD2
2019-05-03T07:06:48.341Z, NUMPAD5
2019-05-03T07:06:53.979Z, NUMPAD4
2019-05-03T07:07:11.137Z, NUMPAD2
2019-05-03T07:07:19.126Z, NUMPAD2
2019-05-03T07:07:28.073Z, NUMPAD5
2019-05-03T07:07:37.112Z, NUMPAD2
2019-05-03T07:07:44.808Z, NUMPAD2
2019-05-03T07:07:52.815Z, NUMPAD3
2019-05-03T07:08:01.289Z, NUMPAD4
2019-05-03T07:08:10.197Z, NUMPAD2
2019-05-03T07:08:19.385Z, NUMPAD4
2019-05-03T07:08:27.725Z, NUMPAD6
2019-05-03T07:08:49.430Z, NUMPAD5
2019-05-03T07:08:56.120Z, NUMPAD4
2019-05-03T07:09:06.917Z, NUMPAD5
2019-05-03T07:09:13.672Z, NUMPAD4
2019-05-03T07:09:23.411Z, NUMPAD2
2019-05-03T07:09:31.090Z, NUMPAD4
2019-05-03T07:09:39.847Z, NUMPAD6
2019-05-03T07:09:50.823Z, NUMPAD6
2019-05-03T07:09:59.606Z, NUMPAD2
2019-05-03T07:10:08.470Z, NUMPAD6
2019-05-03T07:10:17.517Z, NUMPAD3
2019-05-03T07:10:23.755Z, NUMPAD6
2019-05-03T07:10:34.523Z, NUMPAD4
2019-05-03T07:10:43.752Z, NUMPAD6
2019-05-03T07:10:51.994Z, NUMPAD4
2019-05-03T07:11:05.153Z, NUMPAD5
2019-05-03T07:11:12.166Z, NUMPAD2
2019-05-03T07:11:24.337Z, NUMPAD5
2019-05-03T07:11:32.328Z, NUMPAD5
2019-05-03T07:11:38.380Z, NUMPAD4
2019-05-03T07:11:46.741Z, NUMPAD3
2019-05-03T07:11:55.439Z, NUMPAD2
2019-05-03T07:12:04.166Z, NUMPAD4
2019-05-03T07:12:13.399Z, NUMPAD2
2019-05-03T07:12:26.301Z, NUMPAD5
2019-05-03T07:12:34.302Z, NUMPAD5
2019-05-03T07:12:41.420Z, NUMPAD3
2019-05-03T07:12:51.469Z, NUMPAD5
2019-05-03T07:12:58.906Z, NUMPAD4
2019-05-03T07:13:07.602Z, NUMPAD3
2019-05-03T07:13:16.796Z, NUMPAD6
2019-05-03T07:13:25.633Z, NUMPAD5
2019-05-03T07:13:33.896Z, NUMPAD4
2019-05-03T07:13:46.123Z, NUMPAD5
2019-05-03T07:13:53.571Z, NUMPAD2
2019-05-03T07:14:02.384Z, NUMPAD4
2019-05-03T07:14:12.934Z, NUMPAD6
2019-05-03T07:14:20.351Z, NUMPAD3
2019-05-03T07:14:28.552Z, NUMPAD3
2019-05-03T07:14:37.342Z, NUMPAD3
2019-05-03T07:14:46.055Z, NUMPAD6
2019-05-03T07:14:54.829Z, NUMPAD5
